,volume_2020,volume_2021
0x00f26274698c7e15e2e85fE9dBF0174A8E914D9A,682.0,0.0
0x00f507Fa195742bc5784B67C37fB8c246f1f38C5,310.0,0.0
0x00f7885644378F8190d67362300137b1c7e8575C,440.0,150.0
0x010098cE55679c683BCB9cFdaE09Df5E80c88Db3,49246.0,0.0
0x0102a1Fd065C4e3874617F56D1B09475A70AF711,90750.0,81.0
0x01034AD5B2f7003C2A282E14Db5cCF3C038508d0,1982.0,0.0
0x01040fE42ef638dF7871aC1c61552D0b3B4e56F7,400.0,0.0
0x010411Eb46E04CC5B41aa64d21C8b310a0c40953,485.0,0.0
0x010499fdd4EeB675e6693633AfED19e0dd091031,400.0,0.0
0x0104B51d9783138b97FFE53FeF70453cae853ee3,400.0,0.0
0x010BCeBA0FE9BCFc630573d0dc81Baa6992679A1,471.0,150.0
0x010a06298DCbDcb74D767D93f93Ab5B0d72585C1,676.0,42731.0
0x010fF45cb04663eEADfbe611E36A4A1EBa7Cd077,627.0,0.0
0x0110e36D6A35EbA732C56d07D48CDD04d6936813,400.0,0.0
0x01126fD347052adAd31B69c28096e226840c1774,440.0,0.0
0x011312Bc5D1a03720801CF722C316655ce8775AC,400.0,0.0
0x01139ccAFe42242ef11F927dBb426e4F27493A33,15993.0,925.0
0x0116C75E4D5F97e82C8D44894657Eff8883478A2,400.0,0.0
0x0118776Cb953Ec4fe74233bB04D8BdD808e6eE1b,4450.0,0.0
0x0119F38B65d0F39C307292323F6234C45eb445E0,400.0,0.0
0x0119d4D823Fc890E3365755Fc2Ce7331bECe2475,440.0,0.0
0x011Af35a440c74C3837c371084a17DD6f5D7c127,440.0,150.0
0x011C17e7a741F3c8b5146fc35D8d71a45E27342d,4503.0,0.0
0x011E6c2d2c5604bF335b4BD0E03021453de2f9cF,21668.0,0.0
0x011c732Cf5BA2F76B6d0E152050Ae693dC9714C1,478.0,0.0
0x01204AE663D478e9250cc30E30103A716E716a8d,13386.38,23720.0
0x0121406B72296Ca50Fe7aaca9CE01Ba5d8e334c6,700.0,0.0
0x0123c8dE3a2cdc96b417A654445E2508690e95F8,440.0,0.0
0x0124009C98a502fEE3946041652f8542a23864F8,1100.0,0.0
0x01243FF6D81f9D67330AAC3AB50D4d077BECEbeA,440.0,0.0
0x01261C514BeDdC1a116939b1E32164e8F9bA87a6,1266.0,0.0
0x0126985F0D08E3aeC534842519Dec7914156D05a,200.0,0.0
0x0126d265f2353144C4175fC5bAaE7d0F46B2CfC2,50.0,0.0
0x0128D9ad55bd095f1A0b69363974962761179b3E,400.0,0.0
0x0128b9f71D4A3E7913F44DFE165303c132Bb3b30,400.0,0.0
0x012B89d0fA8BaA034ccFE9a96eF9b58909622c36,660.0,147.0
0x012d51B41129558be1CE89F83Cd0397dC60e9311,440.0,0.0
0x012d85fCf58c5eC6A55d450c03b1c3553D5f905f,22674.0,5550.0
0x013329F80E511171a035314F6A1F8E1540dBc333,400.0,0.0
0x0135335304D3426f3278F8C8a25462994F0D9F22,613.0,0.0
0x0136f2aeFdd639145E4fe30E87F218F348854D62,1900.0,0.0
0x0137C2D71682892e3b5a9249d4461E6988DF4E14,502025.4,95500.0
0x0139c04C7e999B1Bee3b906F1B6e6CE39CA14b0b,200.0,0.0
0x013A8b50847e4450d64f7cC5A67F40dC34066F9f,800.0,0.0
0x013bD0495DB9B07F2BD0DdD4A48DE8FDF2100D08,568.0,0.0
0x013d1b44e7A369eaD87288c64b32122822dF1558,400.0,0.0
0x01412C88700e2FfEb1A5F9F2a4F121bf1c3C6006,1016.0,0.0
0x0142aa2D12667B12646FB2542239DAEb89950A7F,3027.0,234.0
0x0143fAd6dEd7Dfd61e99E8157558e1722C675127,16192.0,6768.0
0x0145607FeD7DCBB21e1A1c8066B3DC4c94508b71,7777.0,0.0
0x0145Bf124d23e9b0eCDeB573cE2fB68c45fE49b0,830.0,0.0
