address,retained_20_x,degree_global,retained_15_x,not_retained_15_x,retained_20_y,not_retained_20_x,retained_25_x,not_retained_25_x,retained_30_x,not_retained_30_x,retained_35_x,not_retained_35_x,retained_40_x,not_retained_40_x,retained_45_x,not_retained_45_x,retained_50_x,not_retained_50_x,weighted_degree_global,retained_15_y,not_retained_15_y,retained_20_x,not_retained_20_y,retained_25_y,not_retained_25_y,retained_30_y,not_retained_30_y,retained_35_y,not_retained_35_y,retained_40_y,not_retained_40_y,retained_45_y,not_retained_45_y,retained_50_y,not_retained_50_y,clustering_global,retained_15_x,not_retained_15_x,retained_20_y,not_retained_20_x,retained_25_x,not_retained_25_x,retained_30_x,not_retained_30_x,retained_35_x,not_retained_35_x,retained_40_x,not_retained_40_x,retained_45_x,not_retained_45_x,retained_50_x,not_retained_50_x,betweenness_global,retained_15_y,not_retained_15_y,retained_20,not_retained_20_y,retained_25_y,not_retained_25_y,retained_30_y,not_retained_30_y,retained_35_y,not_retained_35_y,retained_40_y,not_retained_40_y,retained_45_y,not_retained_45_y,retained_50_y,not_retained_50_y,community_size,degree_community,weighted_degree_community,clustering_community,betweenness_community,degree_mean_comm,degree_std_comm,weighted_degree_mean_comm,weighted_degree_std_comm,clustering_mean_comm,clustering_std_comm,betweenness_mean_comm,betweenness_std_comm,cycle_3node_user_count,reciprocal_user_count,cycle_3node_avg_gap_days,reciprocal_avg_gap_days,cyclic_status
0x0033003c9fA1Ab095F5387dAfB6F2385a0C7647b,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,472.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3629,3,472.0,1.0,0.0,5.942132818958391,45.865413126332655,1936.8898815100576,13483.479361373666,0.4177608750843236,0.4538680499471084,0.0004874768875243,0.0097548798564845,3.0,1.0,,0.0015609956944444444,cyclic
0x0038316Acd043860a43E7a1D71dE2De61CA96cFC,0,0.0061919504643962,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,19721.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4090909090909091,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0005617654756378,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2499,16,19721.0,0.4090909090909091,0.0027566270621281,4.510604241696679,14.894779997434542,2100.224665866346,13485.484495579558,0.2490493125267865,0.3763440658084806,0.0004880876715648,0.0039032754047014,54.0,4.0,51.9353599333941,1.4884866531944443,cyclic
0x003d67587327e151CF161d28AB7244547A227Dff,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1154,1,400.0,0.0,0.0,7.492201039861352,14.07317112599388,5310.242634315425,17469.94399961194,0.4212308719793363,0.4176418790607702,0.0007926305555263,0.003190893863898,,,,,acyclic
0x0043f931d93BCe223AB4930679f9978904e921BE,0,0.0027089783281733,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1525.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3.3248551178285776e-05,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2499,9,1525.5,0.1944444444444444,0.0003099081740928,4.510604241696679,14.894779997434542,2100.224665866346,13485.484495579558,0.2490493125267865,0.3763440658084806,0.0004880876715648,0.0039032754047014,,,,,acyclic
0x0044c1d7f205cA21f500bFd68f346426F30ca144,0,0.0205108359133126,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7426.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1016042780748663,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0006264969916828,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1357,53,7426.0,0.1016042780748663,0.0117285694917846,6.757553426676492,16.793980587709584,4280.634546794399,17786.613380988994,0.4452632972137468,0.4388346763061616,0.0012946196104281,0.0089079814088879,156.0,19.0,39.59056662416002,3.3084838540699404,cyclic
0x0045CfE8f2ee20706c084941c7dcE43688Bc3227,0,0.0150928792569659,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,955.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5428571428571428,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.000179771363398,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,747,39,955.0,0.5428571428571428,0.0059218550501569,7.421686746987952,15.655137687834795,844.2947791164657,3765.298262383024,0.3442538886997847,0.3884959054532184,0.0032683215604078,0.017834170614216,483.0,18.0,24.88998002740655,14.903478426034857,cyclic
0x004890e744F5881ac7Ff713F17d7683fDA2cf8AF,0,0.0003869969040247,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1059,1,400.0,0.0,0.0,4.572237960339943,12.338147760761483,1803.8318980169968,8780.367231625758,0.2928917965603501,0.4052778927100568,0.0010675782221108,0.0064964567589515,,,,,acyclic
0x004BB79D7DED3eD731F10D2C383a00AD3EB5c7D5,0,0.0100619195046439,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,6620.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4338235294117647,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3.368676332549071e-05,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1228,26,6620.0,0.4338235294117647,0.0004046633083266,4.814332247557004,14.206523856723049,3423.3501628664494,17055.351144043972,0.1155517708665604,0.2962606034014107,0.000320173490529,0.0022695356600047,216.0,9.0,60.76511889080681,7.3377898863631685,cyclic
0x004b197d79CAb798Daa107504eA99B935806fC80,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1250.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1.765595748076693e-08,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2897,3,1250.0,0.0,3.592915529262645e-07,6.592336900241629,19.17046558247583,7195.344252675181,32585.73930725987,0.2296100331089244,0.3703063669739445,0.0003907564024553,0.0026768606160134,,1.0,,0.0019050590625000001,cyclic
0x004e060FF6255743F4bc82280f50Cd1e19903020,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1.7330745003824046e-08,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3629,3,440.0,0.0,3.844711669494551e-07,5.942132818958391,45.865413126332655,1936.8898815100576,13483.479361373666,0.4177608750843236,0.4538680499471084,0.0004874768875243,0.0097548798564845,,1.0,,0.0007821469212962964,cyclic
0x004eB8362D9BB7EEf023baFA084064C10D4eB45E,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,900.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3629,3,900.0,1.0,0.0,5.942132818958391,45.865413126332655,1936.8898815100576,13483.479361373666,0.4177608750843236,0.4538680499471084,0.0004874768875243,0.0097548798564845,6.0,,13.900881718978589,,cyclic
0x004eb7F0003C065570Aaa17f9373f0Fae9326136,0,0.0007739938080495,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2897,2,400.0,0.0,0.0,6.592336900241629,19.17046558247583,7195.344252675181,32585.73930725987,0.2296100331089244,0.3703063669739445,0.0003907564024553,0.0026768606160134,,,,,acyclic
0x005221eA98dFc1fBA6a4596a41505c426Fc74F2A,0,0.0007739938080495,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,514.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1059,2,514.0,0.0,0.0,4.572237960339943,12.338147760761483,1803.8318980169968,8780.367231625758,0.2928917965603501,0.4052778927100568,0.0010675782221108,0.0064964567589515,,,,,acyclic
0x0057cCcD99335CbB8d95f739504240fD8cEE6166,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,190.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2662,3,190.0,1.0,0.0,6.225394440270473,29.968935208657484,2401.872381667919,15066.963380115323,0.5141160900391379,0.4600420089908119,0.0004838757154601,0.0059683377437353,3.0,1.0,,0.0007497040162037038,cyclic
0x00586b8C309b0Fa39EdD3AA2CD17d041A9882fFA,0,0.0011609907120743,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,225.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,398,2,105.0,0.0,0.0,5.125628140703518,19.033956041819746,1557.7336683417086,8855.101664895747,0.4281881051322502,0.4368645841528099,0.0021402620307092,0.0183472783747194,,,,,cyclic
0x00597c6a7E127730EA8616CB7647Fddb6CA4acf7,0,0.0239938080495356,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,41031.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1058823529411764,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0009610594236511,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2499,61,40931.0,0.106938775510204,0.0092164465160355,4.510604241696679,14.894779997434542,2100.224665866346,13485.484495579558,0.2490493125267865,0.3763440658084806,0.0004880876715648,0.0039032754047014,207.0,11.0,48.99104016654224,91.72142795614089,cyclic
