count,mean,std,min,25%,50%,75%,max,community_id,centrality,retention_label
843.0,5.447212336892052,4.1041085012766905,2.0,3.0,3.0,6.0,26.0,1.0,kshell,not_retained
14.0,4.071428571428571,1.328057326976612,3.0,3.0,3.5,5.5,6.0,1.0,kshell,retained
843.0,14505.614129134261,54536.24133566824,100.0,500.0,545.0,3600.0,698186.0,1.0,weighted_degree,not_retained
14.0,1398.7857142857142,1707.4966461762951,150.0,150.0,656.0,1488.5,5100.0,1.0,weighted_degree,retained
18720.0,8.042895299145298,259.952204854984,2.0,4.0,5.0,6.0,35431.0,2.0,degree,not_retained
2339.0,8.545104745617785,17.89731655540112,2.0,3.0,4.0,6.0,314.0,2.0,degree,retained
18720.0,5.349121294006902e-06,9.301677081078817e-05,0.0,0.0,0.0,3.1937692292832894e-07,0.0098001648977636,2.0,betweenness,not_retained
2339.0,1.2800996034809977e-05,8.76512896605932e-05,0.0,0.0,0.0,1.4689752066669572e-06,0.0033643900930984,2.0,betweenness,retained
18720.0,0.4994269903590635,0.004994654106339995,0.4649291898336434,0.4999101441288174,0.4999161335154434,0.499922123045588,0.8688753305707682,2.0,closeness,not_retained
2339.0,0.49949229951379576,0.0038711564007412585,0.4649291898336434,0.4999101441288174,0.4999101441288174,0.499922123045588,0.5014541521451749,2.0,closeness,retained
18720.0,0.9164692262764961,0.15408227785628686,0.0001978459460875,0.8333333333333334,1.0,1.0,1.0,2.0,clustering,not_retained
2339.0,0.8916426796018956,0.2098703695776844,0.0174933174933174,0.8333333333333334,1.0,1.0,1.0,2.0,clustering,retained
18720.0,3.8944978632478633,1.5365037270326019,2.0,3.0,4.0,4.0,47.0,2.0,kshell,not_retained
2339.0,3.946558358272766,2.1208484626115633,2.0,3.0,3.0,4.0,13.0,2.0,kshell,retained
18720.0,1202.9822271175678,20921.015555287046,2.0,430.0,552.0,640.0,2641395.1,2.0,weighted_degree,not_retained
2339.0,2043.4326638305786,13856.337204304622,2.0,121.0,181.0,575.0,370217.0,2.0,weighted_degree,retained
