user,motif_type,peers,user_count,global_count
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x76f4aFB48cf340E8423889E82dD3Ad5c3bAA9941')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xC10fF4f7dA801a365a75516E9a0763F82333E6F8')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xd087DD9b84459079C8C1509ba36619Ff245b6198')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xFeCbc325Ea7bd25d7Fb25F2664152c801e3160b1')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xCc9c78C92f796962a1290e423Ba72f62b5dF31DC')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x9Ad97d8eE906b924be225B7816c2cc893Df0dd00')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x8B749C23268D7931D745ac8E35602bcD09a8eB7f')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x4E1705588D550AD98c9BE0F554e1e8e0FCd2303C')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x70B4F2F7CB0C3F07c8746D631B3717Dc4eE6FFeb')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x6Dcdd80eab967937DB53544dB4a6FDb69a340be5')",6,6
