user,weighted_degree,retained_15,not_retained_15,retained_20,not_retained_20,retained_25,not_retained_25,retained_30,not_retained_30,retained_35,not_retained_35,retained_40,not_retained_40,retained_45,not_retained_45,retained_50,not_retained_50
0x67B8F4C4B4D20c089800b7d464aB89a4E21a08Ff,156908.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x831E2f9808fabb71281fD97611293a74E13118e7,19635.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0x0713a5850bd05011cfA198980aE4602d3c3e938C,55897.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0xe00C2a1D6eB6fc17a1940F63c8a2039b0F9e0e6F,1260.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0xAD1B80B94Efd4B42b21B7936BCA88a1F5C50b091,18264.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0x61C2c1d9235bc56E225dE54aEFF06B0B403a2a9f,5464.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x804dd26D688F8E13a60bDEC09fAa57Af060DA667,4830.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0xEA4441e4C81ac18beBa08f120c0f2eE00d579Eaf,2334.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0xcb2F39b34711860Cc672dBBeE1e8D17fa3dbCB08,217529.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0xed2567988E3EeF1Fb00545C3828f3FaD13C11910,10958.470000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x94cb6a36768524795d4CCba0fdA8159434bBABC9,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0xEF4f00093696aF44B8D644F81517db5FDA0F48b5,2707.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x4426F81F8C0020A5d951ab07Facf7970384388C1,381012.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x07EF8ab9ac296f7399a476B94B50a47A993E37EC,48065.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x6337502D5113d39c9b68B02CB266c96D8392f3E8,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x898560442909105cc7e2F0FF01aE74678fBDe844,400.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x21f24114F669cCbdec99ad4E5707cA2d8730161C,300.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0xb02cA72abde7CE3bEc8A138e8779383E69fee736,3430.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x16dAAc35d72D4e55b62dc0736E6253ED0FAa0ec7,398.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x914caA04a1bAC38065F26b18c12100B002252b50,1139422.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0xB59006c15901A415df52cc92F73Cb803a967d006,12658.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x64E3D2a834a2ec5bD6065f6657c27CCC162f9cDF,12525.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0x631FA42241276F9872D34B4d4D5a3Bedd17BF83a,12756.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
